per_cost,travel_days,photo_num,person_num_三五好友,person_num_亲子,person_num_家庭,person_num_情侣,person_num_独自一人,person_num_闺蜜,is_weekend,title_length,z,playmode1,playmode2
3000,1,111,0,0,0,0,1,0,1,5,1.0,0,1.0
1400,4,192,0,0,1,0,0,0,0,11,0.0,0,1.0
2000,4,64,0,0,0,0,0,1,1,8,0.0,0,1.0
300,1,57,1,0,0,0,0,0,1,16,0.0,1,1.0
2800,4,180,0,0,1,0,0,0,0,9,1.0,1,1.0
1300,4,114,0,0,0,0,0,1,0,10,0.0,1,1.0
2500,7,47,0,0,0,0,0,1,0,15,0.0,0,1.0
2000,3,68,0,0,0,1,0,0,0,5,0.0,1,1.0
700,3,105,0,0,0,0,1,0,0,11,0.0,0,1.0
1500,4,16,0,0,0,1,0,0,0,19,0.0,0,1.0
3100,4,60,0,0,0,0,1,0,0,4,0.0,1,1.0
1200,4,112,1,0,0,0,0,0,0,18,0.0,1,0.0
